name;deviceVersion;applicationName;sysOid;dfield;description;virtualDeviceName;preDefined;defaultIconId;categoryId;link;seriesId;id;defaultTopoIconId
Microsoft Unknown Product;null;;1.3.6.1.4.1.311.*;Windows;;CWinDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/124', '@rel': 'self', '@op': 'GET'};54;124;1108
Cisco Unknown Product;null;;1.3.6.1.4.1.9.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/125', '@rel': 'self', '@op': 'GET'};55;125;1113
3Com Unknown Product;null;;1.3.6.1.4.1.43.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/126', '@rel': 'self', '@op': 'GET'};56;126;1113
Huawei Unknown Product;null;;1.3.6.1.4.1.2011.*;;;CLanSwitchDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/127', '@rel': 'self', '@op': 'GET'};57;127;1113
Sun Unknown Product;null;;1.3.6.1.4.1.42.*;;;CSunDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/128', '@rel': 'self', '@op': 'GET'};58;128;1108
HP Unknown Product;null;;1.3.6.1.4.1.11.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/129', '@rel': 'self', '@op': 'GET'};59;129;1113
Unknown SNMP Product;null;;*;SNMP;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/130', '@rel': 'self', '@op': 'GET'};60;130;1113
SunOS-HP Agent;null;;1.3.6.1.4.1.11.2.3.10.1;SunOS;;CSunDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/133', '@rel': 'self', '@op': 'GET'};66;133;1108
SunOS-HP Agent;null;;1.3.6.1.4.1.11.2.3.10.1.1;SunOS;;CSunDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/134', '@rel': 'self', '@op': 'GET'};66;134;1108
SunOS-HP Agent;null;;1.3.6.1.4.1.11.2.3.10.1.2;;;CSunDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/135', '@rel': 'self', '@op': 'GET'};67;135;1108
Sun Solaris;null;;1.3.6.1.4.1.2021.250.3;;;CSunDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/136', '@rel': 'self', '@op': 'GET'};67;136;1108
Sun Solaris;null;;1.3.6.1.4.1.505.*;;;CSunDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/137', '@rel': 'self', '@op': 'GET'};67;137;1108
Sun Solaris;null;;1.3.6.1.4.1.504.*;;;CSunDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/138', '@rel': 'self', '@op': 'GET'};67;138;1108
Sun Solaris;null;;1.3.6.1.4.1.42.2.1.1;;;CSunDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/139', '@rel': 'self', '@op': 'GET'};67;139;1108
Sun Solaris;null;;1.3.6.1.4.1.42.1.1;;;CSunDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/140', '@rel': 'self', '@op': 'GET'};67;140;1108
Sun Solaris;null;;1.3.6.1.4.1.42.1.*;;;CSunDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/141', '@rel': 'self', '@op': 'GET'};67;141;1108
IBM Unknown Product;null;;1.3.6.1.4.1.2.*;;;CIbmDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/213', '@rel': 'self', '@op': 'GET'};64;213;1108
