name;id;description;vendorId;link;preDefined
Huawei S3026V;1;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/1', '@rel': 'self', '@op': 'GET'};true
Huawei S2403F;2;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2', '@rel': 'self', '@op': 'GET'};true
Huawei NetEngine 16E/08E/05;3;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/3', '@rel': 'self', '@op': 'GET'};true
Huawei NetEngine 20;4;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/4', '@rel': 'self', '@op': 'GET'};true
Huawei NetEngine 40;5;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/5', '@rel': 'self', '@op': 'GET'};true
Huawei NetEngine 80;6;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/6', '@rel': 'self', '@op': 'GET'};true
Huawei NetEngine 5000;7;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/7', '@rel': 'self', '@op': 'GET'};true
Huawei NetEngine 5000E;8;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/8', '@rel': 'self', '@op': 'GET'};true
Huawei Eudemon;9;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/9', '@rel': 'self', '@op': 'GET'};true
Huawei S8000;10;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/10', '@rel': 'self', '@op': 'GET'};true
Huawei MA5200;11;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/11', '@rel': 'self', '@op': 'GET'};true
Huawei AP;12;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/12', '@rel': 'self', '@op': 'GET'};true
Huawei R1600;13;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/13', '@rel': 'self', '@op': 'GET'};true
Huawei R1760;14;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/14', '@rel': 'self', '@op': 'GET'};true
Huawei R2500E;15;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/15', '@rel': 'self', '@op': 'GET'};true
Huawei R2610;16;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/16', '@rel': 'self', '@op': 'GET'};true
Huawei R2620;17;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/17', '@rel': 'self', '@op': 'GET'};true
Huawei R2630E;18;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/18', '@rel': 'self', '@op': 'GET'};true
Huawei R3600E;19;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/19', '@rel': 'self', '@op': 'GET'};true
Huawei R3680E-RPS;20;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/20', '@rel': 'self', '@op': 'GET'};true
Huawei AR18-1X;21;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/21', '@rel': 'self', '@op': 'GET'};true
Huawei AR18-20/30;22;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/22', '@rel': 'self', '@op': 'GET'};true
AR18-50;23;not referenced;8;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/23', '@rel': 'self', '@op': 'GET'};true
Huawei AR28-09;24;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/24', '@rel': 'self', '@op': 'GET'};true
Huawei AR28-09B;25;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/25', '@rel': 'self', '@op': 'GET'};true
Huawei AR28-10;26;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/26', '@rel': 'self', '@op': 'GET'};true
Huawei AR28-30;27;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/27', '@rel': 'self', '@op': 'GET'};true
Huawei AR28-40/80;28;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/28', '@rel': 'self', '@op': 'GET'};true
Huawei AR46;29;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/29', '@rel': 'self', '@op': 'GET'};true
Huawei VG 10-40/41;30;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/30', '@rel': 'self', '@op': 'GET'};true
Huawei XE 200/2000;31;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/31', '@rel': 'self', '@op': 'GET'};true
Huawei SecPath;32;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/32', '@rel': 'self', '@op': 'GET'};true
Huawei iSPath;33;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/33', '@rel': 'self', '@op': 'GET'};true
