name;preDefined;contact;iconId;description;link;phone;id
H3C;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/1', '@rel': 'self', '@op': 'GET'};;1
Microsoft;true;;2000;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/2', '@rel': 'self', '@op': 'GET'};;2
Cisco;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/3', '@rel': 'self', '@op': 'GET'};;3
3Com;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/4', '@rel': 'self', '@op': 'GET'};;4
Huawei;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/5', '@rel': 'self', '@op': 'GET'};;5
Sun Microsystems;true;;2001;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/6', '@rel': 'self', '@op': 'GET'};;6
Hewlett Packard;true;;2002;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/7', '@rel': 'self', '@op': 'GET'};;7
Unknown;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/8', '@rel': 'self', '@op': 'GET'};;8
U.C.Davis, ECE Depts.;true;;2003;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/9', '@rel': 'self', '@op': 'GET'};;9
IBM;true;;2004;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/10', '@rel': 'self', '@op': 'GET'};;10
MP;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/11', '@rel': 'self', '@op': 'GET'};;11
Marconi;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/12', '@rel': 'self', '@op': 'GET'};;12
Huaan;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/13', '@rel': 'self', '@op': 'GET'};;13
Emerson;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/14', '@rel': 'self', '@op': 'GET'};;14
American Power Conversion;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/15', '@rel': 'self', '@op': 'GET'};;15
Lexmark;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/16', '@rel': 'self', '@op': 'GET'};;16
Emulex;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/17', '@rel': 'self', '@op': 'GET'};;17
Kyocera;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/18', '@rel': 'self', '@op': 'GET'};;18
Siemens;true;;2006;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/19', '@rel': 'self', '@op': 'GET'};;19
Nortel networks;true;;2007;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/20', '@rel': 'self', '@op': 'GET'};;20
Newbridge networks;true;;2008;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/21', '@rel': 'self', '@op': 'GET'};;21
Netgear;true;;2009;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/22', '@rel': 'self', '@op': 'GET'};;22
Madge networks;true;;2010;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/23', '@rel': 'self', '@op': 'GET'};;23
Lucent;true;;2011;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/24', '@rel': 'self', '@op': 'GET'};;24
Juniper networks;true;;2012;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/25', '@rel': 'self', '@op': 'GET'};;25
Intel;true;;2013;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/26', '@rel': 'self', '@op': 'GET'};;26
Fore Systems;true;;2014;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/27', '@rel': 'self', '@op': 'GET'};;27
Extreme networks;true;;2015;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/28', '@rel': 'self', '@op': 'GET'};;28
D-Link;true;;2016;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/29', '@rel': 'self', '@op': 'GET'};;29
Compaq;true;;2017;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/30', '@rel': 'self', '@op': 'GET'};;30
Cabletron Systems;true;;2018;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/31', '@rel': 'self', '@op': 'GET'};;31
Accton;true;;2019;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/32', '@rel': 'self', '@op': 'GET'};;32
Avocent;true;;2020;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/33', '@rel': 'self', '@op': 'GET'};;33
Enterasys;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/34', '@rel': 'self', '@op': 'GET'};;34
A10;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/35', '@rel': 'self', '@op': 'GET'};;35
Foundry;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/36', '@rel': 'self', '@op': 'GET'};;36
Netscaler;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/37', '@rel': 'self', '@op': 'GET'};;37
Fortinet;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/38', '@rel': 'self', '@op': 'GET'};;38
DPtech;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/39', '@rel': 'self', '@op': 'GET'};;39
Citrix;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/40', '@rel': 'self', '@op': 'GET'};;40
Acgate;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/50', '@rel': 'self', '@op': 'GET'};;50
Adtran;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/51', '@rel': 'self', '@op': 'GET'};;51
AlaxalA;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/52', '@rel': 'self', '@op': 'GET'};;52
Alcatel-Lucent;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/53', '@rel': 'self', '@op': 'GET'};;53
Allied Telesis;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/54', '@rel': 'self', '@op': 'GET'};;54
Ancor Communications;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/55', '@rel': 'self', '@op': 'GET'};;55
Apple;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/56', '@rel': 'self', '@op': 'GET'};;56
Applied Innovations;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/57', '@rel': 'self', '@op': 'GET'};;57
ARESCOM;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/58', '@rel': 'self', '@op': 'GET'};;58
